id,name,open,labeled,commented,closed
I_kwDOMqJZbM6WR3Je,https://github.com/obsidianmd/obsidian-clipper/issues/24,2024-09-12T03:41:52Z,2024-09-12T16:31:59Z,2024-09-12T06:34:50Z,2024-09-20T19:07:50Z
I_kwDOMqJZbM6Wlt_s,https://github.com/obsidianmd/obsidian-clipper/issues/33,2024-09-14T15:16:51Z,,2024-09-14T15:23:04Z,2024-09-14T21:50:13Z
I_kwDOMqJZbM6Wl5o7,https://github.com/obsidianmd/obsidian-clipper/issues/34,2024-09-14T17:07:35Z,,2024-09-14T21:49:14Z,2024-09-14T21:49:14Z
I_kwDOMqJZbM6WpO-N,https://github.com/obsidianmd/obsidian-clipper/issues/36,2024-09-16T02:43:53Z,2024-09-16T13:46:03Z,2024-09-16T16:36:22Z,2024-09-16T16:36:12Z
I_kwDOMqJZbM6Wr0zx,https://github.com/obsidianmd/obsidian-clipper/issues/37,2024-09-16T10:27:15Z,2024-09-16T13:46:16Z,2024-09-16T13:45:23Z,
I_kwDOMqJZbM6WvCfW,https://github.com/obsidianmd/obsidian-clipper/issues/38,2024-09-16T16:21:12Z,2024-09-16T16:56:43Z,2024-09-16T16:35:39Z,
I_kwDOMqJZbM6W6SPg,https://github.com/obsidianmd/obsidian-clipper/issues/40,2024-09-17T18:52:07Z,,2024-09-17T21:09:11Z,2024-09-17T21:09:11Z
I_kwDOMqJZbM6XG1UV,https://github.com/obsidianmd/obsidian-clipper/issues/44,2024-09-19T02:42:27Z,,2024-09-19T16:59:49Z,2024-09-19T20:05:59Z
I_kwDOMqJZbM6XSdzQ,https://github.com/obsidianmd/obsidian-clipper/issues/45,2024-09-20T08:23:54Z,,2024-09-20T15:49:29Z,2024-09-20T15:49:29Z
I_kwDOMqJZbM6XT_iJ,https://github.com/obsidianmd/obsidian-clipper/issues/46,2024-09-20T11:41:21Z,,2024-09-20T15:53:06Z,2024-09-20T19:59:26Z
I_kwDOMqJZbM6XWK7G,https://github.com/obsidianmd/obsidian-clipper/issues/48,2024-09-20T16:07:53Z,,2024-09-20T16:10:43Z,2024-09-20T19:05:04Z
I_kwDOMqJZbM6XW9Uz,https://github.com/obsidianmd/obsidian-clipper/issues/49,2024-09-20T18:05:29Z,,2024-09-20T18:13:06Z,2024-09-20T18:13:06Z
I_kwDOMqJZbM6XXFET,https://github.com/obsidianmd/obsidian-clipper/issues/50,2024-09-20T18:24:14Z,,2024-09-20T19:04:19Z,2024-09-20T19:59:16Z
I_kwDOMqJZbM6XXWmX,https://github.com/obsidianmd/obsidian-clipper/issues/51,2024-09-20T19:07:29Z,2024-09-20T19:07:33Z,2024-09-20T23:25:02Z,2024-10-16T20:26:58Z
I_kwDOMqJZbM6XXyM_,https://github.com/obsidianmd/obsidian-clipper/issues/52,2024-09-20T20:09:14Z,2024-09-21T17:11:40Z,2024-09-20T20:34:15Z,
I_kwDOMqJZbM6XYHCS,https://github.com/obsidianmd/obsidian-clipper/issues/53,2024-09-20T21:04:28Z,,2024-09-21T20:45:15Z,2024-09-21T20:45:15Z
I_kwDOMqJZbM6XYn20,https://github.com/obsidianmd/obsidian-clipper/issues/54,2024-09-20T23:32:33Z,,2024-09-21T02:56:30Z,2024-09-21T17:11:31Z
I_kwDOMqJZbM6Xamjk,https://github.com/obsidianmd/obsidian-clipper/issues/55,2024-09-21T14:51:14Z,,2024-09-21T16:42:32Z,2024-09-21T17:11:16Z
I_kwDOMqJZbM6XauGv,https://github.com/obsidianmd/obsidian-clipper/issues/56,2024-09-21T15:32:05Z,,2024-09-21T16:15:14Z,2024-09-21T17:10:53Z
