id,name,open,labeled,commented,closed
MDU6SXNzdWU2NzQzOTAxOTg=,https://github.com/obsidianmd/obsidian-translations/issues/1,2020-08-06T15:12:31Z,,2020-08-07T21:48:01Z,2020-08-07T21:48:01Z
MDU6SXNzdWU2NzU0OTE4Nzg=,https://github.com/obsidianmd/obsidian-translations/issues/6,2020-08-08T09:04:47Z,,2020-08-08T09:49:59Z,2020-08-08T15:39:17Z
MDU6SXNzdWU2NzU0OTQ5Mzk=,https://github.com/obsidianmd/obsidian-translations/issues/8,2020-08-08T09:28:27Z,,2020-08-08T15:39Z,2020-08-08T15:39:09Z
MDU6SXNzdWU2NzU5NTA3OTI=,https://github.com/obsidianmd/obsidian-translations/issues/27,2020-08-10T08:11:16Z,,2020-08-10T08:58:48Z,2020-08-10T08:58:57Z
MDU6SXNzdWU2NzYxMzExNDY=,https://github.com/obsidianmd/obsidian-translations/issues/33,2020-08-10T13:20:12Z,,2020-08-10T16:22:13Z,2020-08-10T16:22:15Z
MDU6SXNzdWU2NzYyMzIzMjU=,https://github.com/obsidianmd/obsidian-translations/issues/36,2020-08-10T15:40:30Z,,2020-08-10T16:20:22Z,2020-08-10T20:56:22Z
MDU6SXNzdWU2NzY1NDczMjM=,https://github.com/obsidianmd/obsidian-translations/issues/45,2020-08-11T03:17:28Z,,2020-08-11T20:52:16Z,2020-08-11T20:52:16Z
MDU6SXNzdWU2Nzc2NjQxMDQ=,https://github.com/obsidianmd/obsidian-translations/issues/57,2020-08-12T12:43:21Z,,2020-08-12T15:31:10Z,2020-08-27T07:37:36Z
MDU6SXNzdWU2Nzc5Nzk1ODA=,https://github.com/obsidianmd/obsidian-translations/issues/60,2020-08-12T21:07:42Z,,2020-08-12T22:21:58Z,2020-08-25T23:15:53Z
MDU6SXNzdWU2NzgxMjc3OTk=,https://github.com/obsidianmd/obsidian-translations/issues/66,2020-08-13T03:47:41Z,,2020-08-13T05:23:32Z,2020-08-20T19:14:06Z
MDU6SXNzdWU2Nzg1MTU1MDk=,https://github.com/obsidianmd/obsidian-translations/issues/72,2020-08-13T15:11:37Z,,2020-08-14T12:43:32Z,2020-08-14T12:43:41Z
MDU6SXNzdWU2OTA4MTg5MjM=,https://github.com/obsidianmd/obsidian-translations/issues/129,2020-09-02T08:17:49Z,,2020-09-05T08:00:03Z,2020-09-07T02:01:55Z
MDU6SXNzdWU3MDc2MTE2ODQ=,https://github.com/obsidianmd/obsidian-translations/issues/159,2020-09-23T19:07:46Z,,2020-10-04T02:35:31Z,2020-10-04T02:35:33Z
MDU6SXNzdWU3MDg5NzEwMDE=,https://github.com/obsidianmd/obsidian-translations/issues/164,2020-09-25T14:07:46Z,,2020-10-04T02:35:51Z,2020-10-04T02:35:53Z
MDU6SXNzdWU3MTg2NDE5OTc=,https://github.com/obsidianmd/obsidian-translations/issues/179,2020-10-10T15:22:28Z,,2020-10-14T04:04:59Z,2020-10-14T08:06:14Z
MDU6SXNzdWU3Mjg5NTY2Mzk=,https://github.com/obsidianmd/obsidian-translations/issues/199,2020-10-25T07:01:25Z,,2020-10-26T09:32:29Z,2020-10-30T23:31:57Z
MDU6SXNzdWU3MzU3ODQ2MDE=,https://github.com/obsidianmd/obsidian-translations/issues/224,2020-11-04T03:33:29Z,,2020-11-16T13:12:03Z,2020-11-10T23:55:25Z
